ID,Primary Axis Total Low Limit,Primary Axis Total High Limit,Secondary Axis Total Low Limit,Secondary Axis Total High Limit,Elevation X Low Limit,Elevation X High Limit,Elevation Y Low Limit,Elevation Y High Limit,Elevation Z Low Limit,Elevation Z High Limit,Azimuth X Low Limit,Azimuth X High Limit,Azimuth Y Low Limit,Azimuth Y High Limit,Azimuth Z Low Limit,Azimuth Z High Limit,Temperature X Low Limit,Temperature X High Limit,Temperature Y Low Limit,Temperature Y High Limit,Temperature Z Low Limit,Temperature Z High Limit,Hardpoint Offloading X Low Limit,Hardpoint Offloading X High Limit,Hardpoint Offloading Y Low Limit,Hardpoint Offloading Y High Limit,Hardpoint Offloading Z Low Limit,Hardpoint Offloading Z High Limit,Dynamic X Low Limit,Dynamic X High Limit,Dynamic Y Low Limit,Dynamic Y High Limit,Dynamic Z Low Limit,Dynamic Z High Limit,AOS Z Low Limit,AOS Z High Limit,Aberration Z Low Limit,Aberration Z High Limit,Offset X Low Limit,Offset X High Limit,Offset Y Low Limit,Offset Y High Limit,Offset Z Low Limit,Offset Z High Limit,Static X Low Limit,Static X High Limit,Static Y Low Limit,Static Y High Limit,Static Z Low Limit,Static Z High Limit,Measured Primary Axis Low Limit,Measured Primary Axis High Limit,Measured Secondary Axis Low Limit,Measured Secondary Axis High Limit,Following Error Primary Axis Limit,Following Error Secondary Axis Limit
114,-3127,3659,-1563,3659,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-600,600,-400,400,-150,150,-450,450,-450,450,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,9000,9000
115,-3127,3659,-1563,3659,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-600,600,-400,400,-150,150,-450,450,-450,450,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,9000,9000
116,-3127,3659,-1563,3659,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-600,600,-400,400,-150,150,-450,450,-450,450,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,9000,9000
117,-3127,3659,-1563,3659,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-600,600,-400,400,-150,150,-450,450,-450,450,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,9000,9000
118,-2814,2502,-938,3127,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-600,600,-400,400,-150,150,-450,450,-450,450,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,9000,9000
119,-1330,1330,0,0,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-600,600,-400,400,-150,150,-450,450,-450,450,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,9000,9000
120,-3127,3659,-1563,3659,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-600,600,-400,400,-150,150,-450,450,-450,450,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,9000,9000
121,-3127,3659,-1563,3659,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-600,600,-400,400,-150,150,-450,450,-450,450,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,9000,9000
122,-3127,3659,-1563,3659,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-600,600,-400,400,-150,150,-450,450,-450,450,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,9000,9000
123,-3127,3659,-1563,3659,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-600,600,-400,400,-150,150,-450,450,-450,450,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,9000,9000
